,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
2106,19 - 24,Skinfit Essence Toner,5.0,118,Instagram,Toner,Cleanser,Oily,1 week - 1 month,1,5,Medium,Neutral,1
2111,25 - 29,C White Lightening Serum,4.8,893,Traditional market,Serum \\u0026 Essence,Treatment,Combination,6 months - 1 year,1,5,Medium,Neutral,1
2149,25 - 29,Let It Glow Hydraveil Primer Serum,4.6,22,Instagram,Corrector \\u0026 Primer,Face,Combination,Less than 1 week,1,5,Light,Neutral,1
2158,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.6,63,Gift,Sun Protection,Moisturizer,Combination,1 month - 3 months,1,5,Medium,Neutral,1
2168,18 and Under,C-White Perfect Radiance Night Moisturizer,5.0,110,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Neutral,1
2170,19 - 24,C White Lightening Serum,4.4,287,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium,Neutral,1
2185,19 - 24,C White Lightening Serum,4.3,1727,Shopee,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,4,Dark,Neutral,1
2186,25 - 29,C White Lightening Serum,4.8,5,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
2189,25 - 29,Ultralight Hydraglow Day Cream,5.0,3,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
2190,19 - 24,Ultralight Hydraglow Day Cream,5.0,24,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
2219,25 - 29,Pore Tightening & Oil Control Moist Serum,4.1,295,Instagram,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,4,Medium Light,Warm,1
2237,18 and Under,C-White Perfect Radiance Night Moisturizer,3.9,7,Shopee,Night Cream,Moisturizer,Normal,Less than 1 week,1,5,Dark,Neutral,1
2287,19 - 24,C White Lightening Serum,4.7,163,FD Try and Review,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium,Neutral,1
2298,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,3.8,128,Instagram,Sun Protection,Moisturizer,Normal,1 month - 3 months,0,5,Medium,Neutral,1
2327,19 - 24,Anti Acne & Brightening Serum,5.0,109,Shopee,Acne Treatment,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
2330,19 - 24,C White Lightening Serum,4.4,684,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,0,5,Medium,Neutral,1
2332,35 - 39,C White Night Moisturizer,5.0,116,Shopee,Night Cream,Moisturizer,Oily,1 week - 1 month,0,5,Medium,Neutral,1
2335,25 - 29,Acne Gentle Cleansing Foam,4.9,838,Instagram,Facial Wash,Cleanser,Dry,1 week - 1 month,1,5,Medium,Warm,1
2365,19 - 24,Anti Acne & Brightening Serum,5.0,1,Shopee,Acne Treatment,Treatment,Normal,3 months - 6 months,0,5,Medium Dark,Cool,1
2368,19 - 24,Pore Tightening & Oil Control Moist Serum,4.4,406,FD Flash Sale,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Light,Neutral,1
2371,25 - 29,Ultralight Hydraglow Day Cream,4.7,54,Shopee,Day Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
2372,18 and Under,C White Lightening Serum,4.3,271,Shopee,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
