,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
4977,18 and Under,C-White Perfect Radiance Night Moisturizer,4.5,395,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,0,5,Medium Dark,Warm,1
4979,18 and Under,C White Lightening Serum,4.0,45,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,5,Medium Light,Warm,1
4981,19 - 24,C-White Perfect Radiance Night Moisturizer,4.5,70,Instagram,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Warm,1
4992,25 - 29,C White Lightening Serum,4.6,49,PR Package,Serum \\u0026 Essence,Treatment,Combination,More than 1 year,1,5,Medium Light,Warm,1
4996,18 and Under,Ultralight Hydraglow Day Cream,4.9,759,Brand website,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
5002,19 - 24,C White Lightening Serum,4.7,2909,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,0,5,Medium Light,Warm,1
5006,19 - 24,C White Lightening Serum,4.9,557,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,0,5,Medium Light,Cool,1
5009,19 - 24,Ultralight Hydraglow Day Cream,4.8,54,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
5011,19 - 24,C White Lightening Serum,4.9,55,Brand website,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium,Warm,1
5014,25 - 29,Anti Acne & Brightening Serum,4.9,214,Instagram,Acne Treatment,Treatment,Dry,Less than 1 week,1,5,Light,Neutral,1
5016,19 - 24,C-White Perfect Radiance Night Moisturizer,4.9,556,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Cool,1
5020,18 and Under,Hydrasoothe Sunscreen Gel SPF 45+++,4.6,40,Brand website,Sun Protection,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
5035,19 - 24,C White Lightening Serum,4.9,42,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Warm,1
5045,19 - 24,C White Lightening Serum,4.8,52,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,0,5,Medium,Neutral,1
5047,19 - 24,C-White Perfect Radiance Night Moisturizer,4.9,554,Tokopedia,Night Cream,Moisturizer,Oily,Less than 1 week,1,4,Medium Dark,Warm,1
5055,25 - 29,C White Lightening Serum,4.4,222,Tokopedia,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,4,Medium Light,Warm,1
5073,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.7,1812,FD Try and Review,Sun Protection,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
5074,25 - 29,Ultralight Hydraglow Day Cream,4.7,14,Instagram,Day Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium Light,Neutral,1
5089,19 - 24,Ultralight Hydraglow Day Cream,4.8,5,FD Try and Review,Day Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
5096,18 and Under,C White Lightening Serum,4.9,86,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Warm,1
5100,19 - 24,C White Lightening Serum,5.0,84,FD Try and Review,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
5127,19 - 24,Skinfit Essence Toner,4.9,754,Instagram,Toner,Cleanser,Normal,1 month - 3 months,0,5,Medium Light,Neutral,1
5128,19 - 24,C White Lightening Serum,4.8,2250,Official Brand Store,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
5130,19 - 24,Skinfit Essence Toner,4.2,58,Shopee,Toner,Cleanser,Normal,1 month - 3 months,1,4,Medium Light,Neutral,1
5131,19 - 24,Revitalizing Anti aging serum,4.6,47,Instagram,Serum \\u0026 Essence,Treatment,Normal,1 month - 3 months,0,5,Medium Light,Neutral,1
5132,19 - 24,C White Night Moisturizer,4.4,72,Official Brand Store,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Dark,Warm,1
5136,19 - 24,C White Lightening Serum,4.0,43,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium,Warm,1
5138,19 - 24,Ultralight Hydraglow Day Cream,4.8,77,Shopee,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
5143,19 - 24,C White Lightening Serum,3.9,258,Instagram,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Warm,1
5145,19 - 24,Ultralight Hydraglow Day Cream,4.8,76,Instagram,Day Cream,Moisturizer,Oily,Less than 1 week,0,5,Medium Light,Cool,1
5148,18 and Under,C White Lightening Serum,4.4,84,Beauty Studio,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,5,Medium,Warm,1
5164,19 - 24,Let It Glow Hydraveil Primer Serum,4.7,674,Tokopedia,Corrector \\u0026 Primer,Face,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
5165,19 - 24,Ultralight Hydraglow Day Cream,4.4,142,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
5168,19 - 24,C White Lightening Serum,4.6,677,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium Light,Cool,1
5174,19 - 24,C White Night Moisturizer,4.8,50,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Warm,1
5176,19 - 24,C-White Perfect Radiance Night Moisturizer,4.0,2554,FD Try and Review,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Warm,1
5183,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,5.0,2,Tokopedia,Sun Protection,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
5188,19 - 24,C White Lightening Serum,4.8,2247,Instagram,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
5192,19 - 24,C-White Perfect Radiance Night Moisturizer,4.6,45,FD Flash Sale,Night Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
5199,25 - 29,C White Lightening Serum,4.8,1445,FD Flash Sale,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,0,5,Medium Light,Neutral,1
5201,18 and Under,Hydrasoothe Sunscreen Gel SPF 45+++,3.8,191,Shopee,Sun Protection,Moisturizer,Combination,1 week - 1 month,1,5,Light,Neutral,1
5219,25 - 29,C White Night Moisturizer,4.6,20,Instagram,Night Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium,Neutral,1
5223,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.5,85,Shopee,Sun Protection,Moisturizer,Combination,Less than 1 week,1,5,Medium,Warm,1
5226,35 - 39,C White Lightening Serum,4.9,60,Instagram,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium,Warm,1
5238,25 - 29,C White Lightening Serum,4.9,780,FD Try and Review,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium Light,Cool,1
5246,25 - 29,Ultralight Hydraglow Day Cream,4.8,20,Shopee,Day Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium Light,Cool,1
5256,18 and Under,C White Lightening Serum,3.9,193,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,4,Medium,Neutral,1
5259,25 - 29,Ultralight Hydraglow Day Cream,4.5,324,Shopee,Day Cream,Moisturizer,Normal,1 week - 1 month,1,4,Medium Light,Neutral,1
5262,25 - 29,C White Lightening Serum,4.9,551,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,4,Light,Neutral,1
5264,25 - 29,Magic Colour Lip Serum,4.3,1039,Shopee,Lip Balm \\u0026 Treatments,Lips,Dry,1 week - 1 month,0,5,Medium,Neutral,1
5272,25 - 29,C White Lightening Serum,4.9,746,Instagram,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium,Neutral,1
5279,25 - 29,Ultralight Hydraglow Day Cream,4.2,480,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Light,Warm,1
5280,19 - 24,C White Lightening Serum,5.0,78,Brand website,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Warm,1
5286,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.6,871,Shopee,Sun Protection,Moisturizer,Combination,1 month - 3 months,0,4,Light,Neutral,1
5288,19 - 24,Skinfit Essence Toner,4.3,22,Instagram,Toner,Cleanser,Combination,1 week - 1 month,0,5,Light,Neutral,1
5290,19 - 24,Pore Tightening & Oil Control Moist Serum,4.3,3002,Gift,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium,Neutral,1
5294,19 - 24,Revitalizing Anti aging serum,4.4,4875,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,0,5,Medium,Neutral,1
5297,19 - 24,Pore Tightening & Oil Control Moist Serum,4.4,97,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Light,Neutral,1
5310,19 - 24,Ultralight Hydraglow Day Cream,4.8,2239,FD Try and Review,Day Cream,Moisturizer,Combination,Less than 1 week,0,5,Medium,Neutral,1
5319,18 and Under,C White Lightening Serum,3.8,98,FD Try and Review,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,0,5,Medium Light,Neutral,1
5332,25 - 29,Ultralight Hydraglow Day Cream,4.6,88,Shopee,Day Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
5334,25 - 29,Ultralight Hydraglow Day Cream,4.8,1452,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
5339,18 and Under,Ultralight Hydraglow Day Cream,4.3,196,Official Brand Store,Day Cream,Moisturizer,Dry,1 week - 1 month,0,5,Medium,Cool,1
5341,25 - 29,Ultralight Hydraglow Day Cream,4.7,50,Tokopedia,Day Cream,Moisturizer,Normal,6 months - 1 year,0,5,Light,Neutral,1
5342,25 - 29,C White Lightening Serum,4.7,1811,Official Brand Store,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,0,5,Medium,Cool,1
5345,25 - 29,C White Lightening Serum,3.6,5,Tokopedia,Serum \\u0026 Essence,Treatment,Dry,3 months - 6 months,0,5,Medium,Cool,1
5353,19 - 24,C White Night Moisturizer,4.8,27,Beauty Studio,Night Cream,Moisturizer,Normal,6 months - 1 year,0,5,Dark,Neutral,1
5358,25 - 29,C White Lightening Serum,3.7,23,Beauty Studio,Serum \\u0026 Essence,Treatment,Normal,More than 1 year,1,5,Dark,Neutral,1
5368,18 and Under,Hydrasoothe Sunscreen Gel SPF 45+++,4.5,313,Shopee,Sun Protection,Moisturizer,Dry,3 months - 6 months,0,5,Medium,Neutral,1
5374,25 - 29,C White Lightening Serum,4.5,1131,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium,Cool,1
5380,19 - 24,C-White Perfect Radiance Night Moisturizer,4.2,2288,Instagram,Night Cream,Moisturizer,Dry,1 month - 3 months,1,5,Medium,Cool,1
5383,18 and Under,C White Lightening Serum,3.8,1794,Instagram,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium,Neutral,1
5389,25 - 29,Anti Acne & Brightening Serum,4.1,197,Instagram,Acne Treatment,Treatment,Dry,Less than 1 week,0,5,Medium,Warm,1
5393,25 - 29,Ultralight Hydraglow Day Cream,4.7,10,FD Try and Review,Day Cream,Moisturizer,Oily,Less than 1 week,0,5,Medium,Warm,1
5402,18 and Under,C White Lightening Serum,4.7,60,FD Try and Review,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
5411,25 - 29,Acne Spot Gel,5.0,80,Tokopedia,Acne Treatment,Treatment,Combination,3 months - 6 months,0,3,Medium Light,Neutral,0
5421,25 - 29,Ultralight Hydraglow Day Cream,5.0,81,Shopee,Day Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Warm,1
5424,25 - 29,C White Lightening Serum,4.9,51,FD Try and Review,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
5427,25 - 29,Ultralight Hydraglow Day Cream,4.9,47,Instagram,Day Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium Dark,Neutral,1
5432,18 and Under,C White Lightening Serum,4.4,705,Instagram,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium Dark,Neutral,1
5446,35 - 39,C White Night Moisturizer,4.9,1192,Shopee,Night Cream,Moisturizer,Dry,Less than 1 week,0,5,Medium Dark,Neutral,1
5465,19 - 24,C White Lightening Serum,4.9,49,Beauty Studio,Serum \\u0026 Essence,Treatment,Dry,1 month - 3 months,0,5,Light,Cool,1
5467,19 - 24,C-White Perfect Radiance Night Moisturizer,4.3,355,Instagram,Night Cream,Moisturizer,Dry,1 month - 3 months,0,5,Light,Cool,1
5490,25 - 29,Ultralight Hydraglow Day Cream,4.3,622,Instagram,Day Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium,Neutral,1
5495,25 - 29,Anti Acne & Brightening Serum,4.9,741,Sociolla,Acne Treatment,Treatment,Dry,1 week - 1 month,0,5,Medium Light,Neutral,1
5497,19 - 24,Ultralight Hydraglow Day Cream,4.8,177,Shopee,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Light,Neutral,1
5498,19 - 24,C White Lightening Serum,4.8,177,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Light,Neutral,1
5501,18 and Under,C White Lightening Serum,4.9,109,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium,Neutral,1
5521,19 - 24,C White Lightening Serum,4.9,315,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 month - 3 months,0,5,Medium,Neutral,1
5523,25 - 29,C-White Perfect Radiance Night Moisturizer,4.9,56,Shopee,Night Cream,Moisturizer,Normal,1 week - 1 month,0,5,Medium Light,Cool,1
5524,18 and Under,C White Night Moisturizer,4.6,22,Shopee,Night Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium,Neutral,1
5526,25 - 29,C White Lightening Serum,4.9,112,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,4,Medium Dark,Neutral,1
5530,25 - 29,C-White Perfect Radiance Night Moisturizer,4.1,1823,Instagram,Night Cream,Moisturizer,Dry,6 months - 1 year,0,5,Medium Light,Cool,1
5531,30 - 34,C-White Perfect Radiance Night Moisturizer,3.7,381,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Dark,Neutral,1
5539,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,2225,Brand website,Sun Protection,Moisturizer,Dry,3 months - 6 months,1,5,Medium Light,Cool,1
5540,25 - 29,C White Lightening Serum,4.8,2224,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Light,Neutral,1
5561,30 - 34,Anti Acne & Brightening Serum,4.8,127,Instagram,Acne Treatment,Treatment,Dry,3 months - 6 months,0,5,Medium Dark,Warm,1
5565,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.6,63,Beauty Studio,Sun Protection,Moisturizer,Normal,Less than 1 week,1,5,Light,Neutral,1
5566,18 and Under,Ultralight Hydraglow Day Cream,5.0,676,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
5567,19 - 24,C White Night Moisturizer,4.5,82,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Light,Neutral,1
5569,25 - 29,C White Lightening Serum,5.0,885,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,0,5,Medium Light,Neutral,1
5571,25 - 29,C White Lightening Serum,4.9,213,Shopee,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium,Cool,1
5584,19 - 24,C-White Perfect Radiance Night Moisturizer,4.1,589,Instagram,Night Cream,Moisturizer,Combination,Less than 1 week,0,5,Medium Dark,Neutral,1
5591,18 and Under,C White Lightening Serum,4.9,1704,Instagram,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium,Warm,1
5607,25 - 29,Ultralight Hydraglow Day Cream,4.8,1450,PR Package,Day Cream,Moisturizer,Normal,Less than 1 week,1,4,Medium Light,Cool,1
5617,30 - 34,Hydrasoothe Sunscreen Gel SPF 45+++,3.0,1,Shopee,Sun Protection,Moisturizer,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
5623,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.9,52,Instagram,Sun Protection,Moisturizer,Normal,Less than 1 week,1,5,Medium,Neutral,1
5626,19 - 24,C White Night Moisturizer,4.9,51,Tokopedia,Night Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium,Neutral,1
5628,19 - 24,C White Lightening Serum,4.8,1438,Shopee,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,1,5,Medium Dark,Warm,1
5641,25 - 29,C White Night Moisturizer,4.8,24,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium Light,Cool,1
5642,25 - 29,C White Lightening Serum,4.8,26,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
5657,30 - 34,Ultralight Hydraglow Day Cream,5.0,73,Gift,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium Dark,Warm,1
5664,19 - 24,C White Lightening Serum,3.9,1675,Gift,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Dark,Warm,1
5676,19 - 24,Ultralight Hydraglow Day Cream,4.5,326,FD Try and Review,Day Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium,Neutral,1
5677,18 and Under,C White Lightening Serum,4.3,493,FD Try and Review,Serum \\u0026 Essence,Treatment,Normal,1 month - 3 months,1,5,Medium Light,Neutral,1
5678,18 and Under,C White Night Moisturizer,4.9,49,Brand website,Night Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
5679,19 - 24,C White Lightening Serum,3.8,1066,Brand website,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
5683,19 - 24,Magic Colour Lip Serum,5.0,669,Instagram,Lip Balm \\u0026 Treatments,Lips,Combination,1 week - 1 month,1,5,Medium Light,Warm,1
5695,19 - 24,C-White Perfect Radiance Night Moisturizer,4.8,2214,Gift,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
5701,30 - 34,C White Lightening Serum,4.8,12,Gift,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Warm,1
5702,25 - 29,C White Lightening Serum,5.0,667,Shopee,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
5757,19 - 24,C White Lightening Serum,4.8,2210,Whatsapp,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Cool,1
5785,25 - 29,C-White Perfect Radiance Night Moisturizer,4.7,34,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
5787,18 and Under,C White Lightening Serum,4.9,737,Tokopedia,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Warm,1
5788,19 - 24,C-White Perfect Radiance Night Moisturizer,4.9,103,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,1,4,Light,Neutral,1
5790,19 - 24,C White Night Moisturizer,4.6,87,Shopee,Night Cream,Moisturizer,Dry,Less than 1 week,0,5,Medium,Neutral,1
5792,19 - 24,C White Lightening Serum,5.0,1,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,0,5,Medium Light,Warm,1
5793,19 - 24,C White Lightening Serum,5.0,659,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,4,Light,Neutral,1
5796,19 - 24,C White Lightening Serum,3.7,9,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium,Neutral,1
5797,19 - 24,Ultralight Hydraglow Day Cream,5.0,951,Instagram,Day Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium,Neutral,1
5799,18 and Under,C White Night Moisturizer,4.8,1433,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium Light,Warm,1
5805,18 and Under,C White Lightening Serum,4.5,75,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Warm,1
5821,19 - 24,C White Lightening Serum,4.0,4700,Instagram,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Light,Cool,1
5836,19 - 24,C White Lightening Serum,4.5,143,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,4,Medium,Neutral,1
5841,19 - 24,C-White Perfect Radiance Night Moisturizer,4.9,1321,Instagram,Night Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Warm,1
5854,19 - 24,C-White Perfect Radiance Night Moisturizer,4.8,543,Shopee,Night Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Dark,Neutral,1
5858,19 - 24,C White Lightening Serum,4.8,41,Instagram,Serum \\u0026 Essence,Treatment,Dry,1 month - 3 months,0,5,Medium Light,Neutral,1
5860,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.0,782,Instagram,Sun Protection,Moisturizer,Oily,1 week - 1 month,0,5,Medium,Neutral,1
5861,30 - 34,C White Lightening Serum,4.8,1432,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
5875,19 - 24,C-White Perfect Radiance Night Moisturizer,4.8,2201,Shopee,Night Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Warm,1
5880,19 - 24,C White Lightening Serum,4.8,20,Shopee,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
5883,19 - 24,C White Lightening Serum,5.0,20,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Warm,1
5886,19 - 24,Instant Glow Peel Off Nail Serum,4.7,48,Shopee,Vitamin \\u0026 Treatment,Nails,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
5902,18 and Under,Ultralight Hydraglow Day Cream,5.0,1,Brand website,Day Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
5938,18 and Under,C White Lightening Serum,4.9,1476,Brand website,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium,Neutral,1
5947,19 - 24,C White Lightening Serum,4.8,2198,FD Try and Review,Serum \\u0026 Essence,Treatment,Oily,1 week - 1 month,0,5,Medium,Warm,1
5950,19 - 24,Ultralight Hydraglow Day Cream,5.0,42,Shopee,Day Cream,Moisturizer,Oily,Less than 1 week,0,5,Medium,Warm,1
5954,19 - 24,C White Lightening Serum,5.0,2,Shopee,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium,Neutral,1
5962,18 and Under,C White Night Moisturizer,4.2,478,FD Flash Sale,Night Cream,Moisturizer,Oily,1 week - 1 month,0,5,Medium Dark,Neutral,1
5963,18 and Under,Ultralight Hydraglow Day Cream,4.3,212,Shopee,Day Cream,Moisturizer,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
5971,30 - 34,Ultralight Hydraglow Day Cream,4.7,134,Brand website,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
5978,18 and Under,C White Lightening Serum,4.7,35,Brand website,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium Light,Warm,1
5981,19 - 24,C White Lightening Serum,4.6,51,Instagram,Serum \\u0026 Essence,Treatment,Combination,More than 1 year,0,5,Medium,Neutral,1
5994,19 - 24,Ultralight Hydraglow Day Cream,4.8,34,Shopee,Day Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium Light,Warm,1
6000,25 - 29,C-White Perfect Radiance Night Moisturizer,4.8,39,Brand website,Night Cream,Moisturizer,Normal,1 week - 1 month,0,5,Medium Light,Neutral,1
6018,25 - 29,Anti Acne & Brightening Serum,4.8,1426,Tokopedia,Acne Treatment,Treatment,Combination,Less than 1 week,0,5,Medium,Neutral,1
6024,18 and Under,C White Night Moisturizer,4.9,727,Instagram,Night Cream,Moisturizer,Oily,1 week - 1 month,1,5,Medium Dark,Cool,1
6028,19 - 24,C-White Perfect Radiance Night Moisturizer,4.9,726,Instagram,Night Cream,Moisturizer,Combination,1 week - 1 month,1,5,Light,Cool,1
6030,18 and Under,C White Lightening Serum,4.6,21,Instagram,Serum \\u0026 Essence,Treatment,Combination,1 week - 1 month,1,5,Light,Cool,1
6033,25 - 29,C White Night Moisturizer,4.6,45,FD Flash Sale,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium Light,Neutral,1
6034,19 - 24,Ultralight Hydraglow Day Cream,4.4,5,Shopee,Day Cream,Moisturizer,Combination,Less than 1 week,1,5,Light,Cool,1
6038,18 and Under,C White Lightening Serum,4.6,13,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium,Warm,1
6049,19 - 24,C White Night Moisturizer,4.8,11,Instagram,Night Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
6053,25 - 29,C-White Perfect Radiance Night Moisturizer,4.8,8,Shopee,Night Cream,Moisturizer,Normal,3 months - 6 months,0,5,Medium Light,Neutral,1
6060,19 - 24,C White Lightening Serum,4.7,379,Shopee,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Light,Neutral,1
6064,19 - 24,C White Lightening Serum,3.7,41,Facebook,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
6104,25 - 29,Ultralight Hydraglow Day Cream,3.4,441,Instagram,Day Cream,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Neutral,1
6109,19 - 24,C White Night Moisturizer,4.1,3433,Shopee,Night Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Warm,1
6112,19 - 24,Ultralight Hydraglow Day Cream,5.0,948,Shopee,Day Cream,Moisturizer,Dry,Less than 1 week,1,5,Medium,Neutral,1
6114,19 - 24,C White Lightening Serum,5.0,61,Shopee,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,5,Medium Light,Warm,1
6115,19 - 24,C White Lightening Serum,4.4,92,Shopee,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium,Neutral,1
6117,19 - 24,C-White Perfect Radiance Night Moisturizer,5.0,242,Shopee,Night Cream,Moisturizer,Combination,1 month - 3 months,1,5,Medium,Neutral,1
6124,19 - 24,Anti Acne & Brightening Serum,4.8,38,Instagram,Acne Treatment,Treatment,Oily,1 week - 1 month,1,5,Medium Light,Neutral,1
6126,25 - 29,C White Night Moisturizer,4.7,45,Official Brand Store,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Warm,1
6127,25 - 29,C White Lightening Serum,4.6,72,Shopee,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium,Neutral,1
6133,25 - 29,C White Lightening Serum,4.8,1425,Official Brand Store,Serum \\u0026 Essence,Treatment,Dry,Less than 1 week,1,5,Medium Dark,Warm,1
6144,25 - 29,Ultralight Hydraglow Day Cream,5.0,1146,Instagram,Day Cream,Moisturizer,Oily,1 month - 3 months,0,5,Medium Light,Neutral,1
